date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-09-15,134.6799251126898,0.0,hold,buy,sell,hold
2023-09-15,135.06408631057954,1.0,buy,buy,sell,hold
2023-09-18,135.06487671869638,1.0,buy,buy,sell,hold
2023-09-25,134.93526325897298,0.0,hold,buy,sell,hold
2023-09-25,134.40410819879733,1.0,buy,sell,buy,hold
2023-09-25,133.8598188487168,0.0,hold,sell,buy,hold
2023-09-25,133.44830677056183,0.0,hold,sell,buy,hold
2023-09-25,134.74935998708307,-1.0,sell,sell,buy,hold
2023-09-26,134.81867231027448,-1.0,sell,buy,sell,hold
2023-09-28,135.39489526501274,0.0,hold,buy,sell,hold
2023-10-04,135.74004481683065,0.0,hold,buy,sell,hold
2023-10-05,135.0577881035012,1.0,buy,buy,sell,hold
2023-10-06,134.87230697658,1.0,buy,sell,buy,hold
2023-10-11,134.13576827577032,0.0,hold,sell,buy,hold
2023-10-11,134.55365616980563,0.0,hold,sell,buy,hold
2023-10-11,134.52755655641326,1.0,buy,buy,sell,hold
2023-10-12,135.46810064393424,1.0,buy,sell,buy,hold
2023-10-13,136.2444565961167,0.0,hold,buy,sell,hold
2023-10-13,137.44861822789608,0.0,hold,buy,sell,hold
2023-10-18,139.17764720926147,-1.0,sell,buy,sell,hold
2023-10-18,139.61923406004595,-1.0,sell,buy,sell,hold
2023-10-18,139.69484652511952,-1.0,sell,buy,sell,hold
2023-10-19,139.92372998948397,0.0,hold,buy,sell,hold
2023-10-19,139.66699615854006,-1.0,sell,buy,sell,hold
2023-10-19,138.61775599484676,0.0,hold,sell,buy,hold
2023-10-20,138.1668304003706,1.0,buy,sell,buy,hold
2023-10-20,138.52497102527852,0.0,hold,sell,buy,hold
2023-10-23,139.15149032760866,0.0,hold,buy,sell,hold
2023-10-26,139.66222583314905,0.0,hold,buy,sell,hold
2023-10-26,140.94483229423338,1.0,buy,buy,sell,hold
2023-10-26,140.50746999944042,1.0,buy,buy,sell,hold
2023-11-07,141.51755537077094,-1.0,sell,sell,buy,hold
2023-11-09,141.95893282399345,-1.0,sell,buy,sell,hold
2023-11-10,141.8186952744378,-1.0,sell,buy,sell,hold
2023-11-17,141.58242838320382,-1.0,sell,sell,buy,hold
2023-11-17,141.23433821073695,1.0,buy,sell,buy,hold
2023-11-20,141.5866451728119,0.0,hold,sell,buy,hold
2023-11-24,141.63150542738563,0.0,hold,buy,sell,hold
2023-11-30,140.62641580276357,0.0,hold,buy,sell,hold
2023-11-30,140.11198814172846,-1.0,sell,sell,buy,hold
